User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
admin,ASIAYUSCSLWT3BGTOLIU,2021-01-16T15:45:40Z,iam.amazonaws.com,AddUserToGroup,us-east-1,36.69.180.178,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",69f49c7b-2bad-422a-bcc5-258bca29adda,cad87931-88fb-4f6f-9037-ec2e785bae8f,false,AwsApiCall,593918844327,Management
admin,ASIAYUSCSLWT3BGTOLIU,2021-01-16T15:44:52Z,iam.amazonaws.com,AddUserToGroup,us-east-1,36.69.180.178,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",ac54c19b-84f1-4af8-9a08-3420f0a3e3cf,596024a1-661c-45d4-afc6-9e1008fc0341,false,AwsApiCall,593918844327,Management
admin,ASIAYUSCSLWT3BGTOLIU,2021-01-16T15:45:41Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,36.69.180.178,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",5ebd173f-29b6-4c4f-996c-b96b257250b9,14b4ae90-77bc-4b0a-bf2b-c3c9664db9d8,false,AwsApiCall,593918844327,Management
admin,ASIAYUSCSLWT3BGTOLIU,2021-01-16T15:45:39Z,iam.amazonaws.com,CreateUser,us-east-1,36.69.180.178,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAYUSCSLWTQ35CXKFLH""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::593918844327:user/Accountant""}]",27383abd-c404-4117-8a11-f3e209dd684a,aefe79b6-4520-4ade-b2ff-abb5837c3565,false,AwsApiCall,593918844327,Management
admin,ASIAYUSCSLWT3BGTOLIU,2021-01-16T15:44:53Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,36.69.180.178,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",31bca93e-1e01-46d4-b912-9c5c239aa0a1,f575aac0-28db-4b9f-85e8-ae5ac7adf8b9,false,AwsApiCall,593918844327,Management
admin,ASIAYUSCSLWT3BGTOLIU,2021-01-16T15:44:51Z,iam.amazonaws.com,CreateUser,us-east-1,36.69.180.178,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::593918844327:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAYUSCSLWTRHBY2PJHK""}]",1b585161-ec22-40e7-9379-6a4754120442,5bea9444-59f2-4b09-b4b3-ff137b41389d,false,AwsApiCall,593918844327,Management
admin,ASIAYUSCSLWT3BGTOLIU,2021-01-16T15:40:50Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,36.69.180.178,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",ac2b2bdf-2c65-408b-b2b0-cc7c1162d7aa,e56553b5-e1db-4b76-b74c-11cfa2086015,false,AwsApiCall,593918844327,Management
admin,ASIAYUSCSLWT3BGTOLIU,2021-01-16T15:40:50Z,iam.amazonaws.com,CreateGroup,us-east-1,36.69.180.178,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAYUSCSLWT26O76DRIA""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::593918844327:group/Reviewers""}]",afd31df6-1297-4932-910d-c32e66e5fdb2,5d56054d-c3b4-4a7e-8472-c3797306150e,false,AwsApiCall,593918844327,Management
admin,ASIAYUSCSLWT3BGTOLIU,2021-01-16T15:40:27Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,36.69.180.178,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",975f129a-163b-4c67-8121-957598c1e195,18015b18-9d6e-4700-86d7-20c8ac4d4088,false,AwsApiCall,593918844327,Management
admin,ASIAYUSCSLWT3BGTOLIU,2021-01-16T15:40:27Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,36.69.180.178,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",95282933-986c-44ef-a30e-39791239068a,b1bb2977-4d08-42f2-8372-627c25509a95,false,AwsApiCall,593918844327,Management
admin,ASIAYUSCSLWT3BGTOLIU,2021-01-16T15:40:27Z,iam.amazonaws.com,CreateGroup,us-east-1,36.69.180.178,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::593918844327:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAYUSCSLWTREPL6SRJK""}]",fbbe7eff-4f75-425e-9787-b391bff44d58,d5b12df3-0eb0-497d-8bb3-270afae3b32f,false,AwsApiCall,593918844327,Management
